iter	Passed	Remaining
0	278	278496
1	315	157196
2	341	113534
3	359	89618
4	382	76046
5	404	67086
6	429	60900
7	453	56283
8	474	52288
9	498	49373
10	518	46578
11	539	44453
12	560	42517
13	589	41518
14	609	40033
15	636	39164
16	658	38058
17	678	37014
18	698	36069
19	719	35252
20	742	34601
21	763	33954
22	803	34151
23	874	35556
24	908	35432
25	933	34985
26	962	34667
27	1001	34783
28	1021	34208
29	1038	33573
30	1054	32959
31	1080	32677
32	1155	33845
33	1253	35619
34	1286	35467
35	1317	35280
36	1343	34963
37	1369	34682
38	1396	34404
39	1415	33975
40	1447	33866
41	1598	36461
42	1717	38215
43	1864	40516
44	1939	41159
45	1959	40638
46	1979	40131
47	2008	39829
48	2026	39322
49	2046	38884
50	2067	38478
51	2088	38081
52	2109	37696
53	2131	37338
54	2152	36987
55	2170	36594
56	2190	36238
57	2212	35930
58	2231	35586
59	2251	35278
60	2271	34960
61	2294	34717
62	2318	34487
63	2342	34252
64	2365	34024
65	2382	33722
66	2414	33616
67	2469	33839
68	2520	34008
69	2545	33819
70	2567	33597
71	2596	33464
72	2620	33276
73	2639	33025
74	2657	32780
75	2681	32602
76	2700	32367
77	2737	32360
78	2756	32136
79	2774	31901
80	2790	31659
81	2807	31427
82	2829	31257
83	2846	31044
84	2863	30823
85	2888	30701
86	2914	30581
87	2931	30385
88	2965	30358
89	3001	30347
90	3029	30259
91	3050	30106
92	3075	29989
93	3099	29869
94	3133	29853
95	3174	29889
96	3200	29797
97	3226	29693
98	3255	29631
99	3284	29560
100	3305	29421
101	3332	29335
102	3351	29184
103	3374	29076
104	3398	28972
105	3419	28839
106	3436	28680
107	3464	28616
108	3497	28590
109	3520	28484
110	3538	28340
111	3554	28183
112	3576	28076
113	3593	27930
114	3611	27789
115	3631	27672
116	3649	27539
117	3671	27440
118	3695	27362
119	3714	27236
120	3735	27135
121	3758	27049
122	3791	27033
123	3810	26922
124	3829	26805
125	3851	26712
126	3872	26616
127	3892	26519
128	3912	26413
129	3938	26360
130	3959	26263
131	3981	26183
132	4007	26123
133	4029	26042
134	4050	25951
135	4073	25878
136	4097	25809
137	4117	25721
138	4140	25648
139	4163	25572
140	4187	25508
141	4208	25429
142	4238	25401
143	4258	25313
144	4283	25260
145	4306	25187
146	4329	25120
147	4351	25051
148	4377	25002
149	4404	24961
150	4432	24920
151	4455	24857
152	4484	24826
153	4507	24761
154	4542	24765
155	4564	24693
156	4586	24624
157	4613	24587
158	4635	24515
159	4656	24448
160	4682	24401
161	4710	24368
162	4731	24298
163	4751	24218
164	4772	24153
165	4793	24084
166	4825	24069
167	4847	24008
168	4866	23931
169	4893	23891
170	4917	23840
171	4942	23793
172	4966	23741
173	4992	23698
174	5015	23644
175	5036	23578
176	5061	23533
177	5082	23468
178	5110	23441
179	5137	23403
180	5159	23345
181	5181	23286
182	5206	23245
183	5229	23192
184	5257	23160
185	5280	23108
186	5303	23057
187	5325	23000
188	5351	22961
189	5386	22963
190	5438	23034
191	5466	23006
192	5489	22954
193	5508	22884
194	5533	22844
195	5554	22786
196	5579	22744
197	5600	22683
198	5620	22622
199	5640	22561
200	5663	22514
201	5684	22457
202	5704	22396
203	5726	22343
204	5745	22280
205	5765	22221
206	5785	22165
207	5804	22102
